idpedido;cliente;idempleado;idempresa;importe;pais
10248;WILMK;5;3;32.38;Finlandia
10249;TOMSP;6;1;11.61;Alemania
10250;HANAR;4;2;65.83;Brasil
10251;VICTE;3;1;41.34;Francia
10252;SUPRD;4;2;51.30;Belgica
10253;HANAR;3;2;58.17;Brasil
10254;CHOPS;5;2;22.98;Suiza
10255;RICSU;9;3;148.33;Suiza
10256;WELLI;3;2;13.97;Brasil
10257;HILAA;4;3;81.91;Venezuela
10258;ERNSH;1;1;140.51;Austria
10259;CENTC;4;3;3.25;Mexico
10260;OTTIK;4;1;55.09;Alemania
10261;QUEDE;4;2;3.05;Brasil
10262;RATTC;8;3;48.29;Estados Unidos
10263;ERNSH;9;3;146.06;Austria
10264;FOLKO;6;3;3.67;Suecia
10265;BLONP;2;1;55.28;Francia
10266;WARTH;3;3;25.73;Finlandia
10267;FRANK;4;1;208.58;Alemania
10268;GROSR;8;3;66.29;Venezuela
10269;WHITC;5;1;4.56;Estados Unidos
10270;WARTH;1;1;136.54;Finlandia
10271;SPLIR;6;2;4.54;Estados Unidos
10272;RATTC;6;2;98.03;Estados Unidos
10273;QUICK;3;3;76.07;Alemania
10274;VINET;6;1;6.01;Francia
10275;MAGAA;1;1;26.93;Italia
10276;TORTU;8;3;13.84;Mexico
10277;MORGK;2;3;125.77;Alemania
10278;BERGS;8;2;92.69;Suecia
10279;LEHMS;8;2;25.83;Alemania
10280;BERGS;2;1;8.98;Suecia
10281;ROMEY;4;1;2.94;Espanya
10282;ROMEY;4;1;12.69;Espanya
10283;LILAS;3;3;84.81;Venezuela
10284;LEHMS;4;1;76.56;Alemania
10285;QUICK;1;2;76.83;Alemania
10286;QUICK;8;3;229.24;Alemania
10287;RICAR;8;3;12.76;Brasil
10288;REGGC;4;1;7.45;Italia
10289;BSBEV;7;3;22.77;Reino Unido
10290;COMMI;8;1;79.70;Brasil
10291;QUEDE;6;2;6.40;Brasil
10292;TRADH;1;2;1.35;Brasil
10293;TORTU;1;3;21.18;Mexico
10294;RATTC;4;2;147.26;Estados Unidos
10295;VINET;2;2;1.15;Francia
10296;LILAS;6;1;0.12;Venezuela
10297;BLONP;5;2;5.74;Francia
10298;HUNGO;6;2;168.22;Irlanda
10299;RICAR;4;2;29.76;Brasil
10300;MAGAA;2;2;17.68;Italia
10301;WANDK;8;2;45.08;Alemania
10302;SUPRD;4;2;6.27;Belgica
10303;GODOS;7;2;107.83;Espanya
10304;TORTU;1;2;63.79;Mexico
10305;OLDWO;8;3;257.62;Estados Unidos
10306;ROMEY;1;3;7.56;Espanya
10307;LONEP;2;2;0.56;Estados Unidos
10308;ANATR;7;3;1.61;Mexico
10309;HUNGO;3;1;47.30;Irlanda
10310;THEBI;8;2;17.52;Estados Unidos
10311;DUMON;1;3;24.69;Francia
10312;WANDK;2;2;40.26;Alemania
10313;QUICK;2;2;1.96;Alemania
10314;RATTC;1;2;74.16;Estados Unidos
10315;ISLAT;4;2;41.76;Reino Unido
10316;RATTC;1;3;150.15;Estados Unidos
10317;LONEP;6;1;12.69;Estados Unidos
10318;ISLAT;8;2;4.73;Reino Unido
10319;TORTU;7;3;64.50;Mexico
10320;WARTH;5;3;34.57;Finlandia
10321;ISLAT;3;2;3.43;Reino Unido
10322;PERIC;7;3;0.40;Mexico
10323;KOENE;4;1;4.88;Alemania
